City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Freeport,BS,2019-11-03 22:53:40,26.54,-78.7,75.2,88,75,5.82
122,Victoria,BN,2019-11-03 22:53:40,5.28,115.24,80.6,83,75,3.36
123,Kaitangata,NZ,2019-11-03 22:53:40,-46.28,169.85,59.0,74,28,10.0
124,Zhuhai,CN,2019-11-03 22:53:40,40.71,112.04,32.0,79,0,4.47
125,Jacqueville,CI,2019-11-03 22:53:41,5.21,-4.42,80.6,88,20,8.61
126,Narsaq,GL,2019-11-03 22:53:41,60.91,-46.05,26.6,58,1,5.82
127,Sabzevar,IR,2019-11-03 22:53:41,36.21,57.68,48.81,66,4,12.75
128,Bronnoysund,NO,2019-11-03 22:53:41,65.46,12.2,30.2,86,0,4.7
129,Pundaguitan,PH,2019-11-03 22:53:41,6.37,126.17,82.94,75,100,10.11
130,Kruisfontein,ZA,2019-11-03 22:53:42,-34.0,24.73,51.4,91,60,2.62
131,Dargaville,NZ,2019-11-03 22:53:42,-35.94,173.86,73.26,47,56,5.68
132,Kununurra,AU,2019-11-03 22:53:42,-15.77,128.74,84.2,74,6,5.82
133,Jizan,SA,2019-11-03 22:53:42,16.89,42.56,84.2,74,61,3.36
134,Aklavik,CA,2019-11-03 22:53:42,68.22,-135.01,21.2,92,90,2.84
135,Mahebourg,MU,2019-11-03 22:53:43,-20.41,57.7,73.4,83,40,10.29
136,Isiolo,KE,2019-11-03 22:53:43,0.35,37.58,73.02,58,91,12.53
137,Port Macquarie,AU,2019-11-03 22:53:44,-31.43,152.91,84.0,73,90,5.82
138,Omboue,GA,2019-11-03 22:53:44,-1.57,9.26,74.75,97,100,1.54
139,Broome,GB,2019-11-03 22:53:44,52.47,1.45,48.0,100,52,3.36
140,Gimli,CA,2019-11-03 22:53:44,50.63,-96.99,33.01,96,100,8.01
141,Barra Do Bugres,BR,2019-11-03 22:53:44,-15.07,-57.19,80.85,59,84,3.49
142,Mananjary,MG,2019-11-03 22:53:45,-19.16,46.8,58.68,87,61,5.7
143,Virginia Beach,US,2019-11-03 22:52:04,36.85,-75.98,55.99,66,1,9.17
144,Svarstad,NO,2019-11-03 22:53:45,59.4,9.97,34.0,67,90,13.87
145,Nioaque,BR,2019-11-03 22:53:45,-21.16,-55.83,79.38,62,41,2.91
146,Nikolskoye,RU,2019-11-03 22:53:45,59.7,30.79,39.2,93,90,2.24
147,Chokurdakh,RU,2019-11-03 22:53:46,70.62,147.9,-0.46,93,99,10.16
148,Sundumbili,ZA,2019-11-03 22:53:46,-29.13,31.4,68.0,88,75,4.7
149,Luang Prabang,LA,2019-11-03 22:53:46,19.89,102.14,63.99,96,18,2.06
150,Kamenka,MD,2019-11-03 22:53:46,48.03,28.7,51.01,83,100,5.01
151,Bilibino,RU,2019-11-03 22:53:47,68.06,166.44,11.7,85,100,2.71
152,Saint-Joseph,FR,2019-11-03 22:53:47,43.56,6.97,60.8,54,0,17.22
153,Deqing,CN,2019-11-03 22:53:47,30.54,119.97,64.99,93,20,2.24
154,Georgetown,GY,2019-11-03 22:53:47,6.8,-58.16,82.4,78,20,4.7
155,Corn Island,NI,2019-11-03 22:53:47,12.17,-83.04,82.49,76,6,12.24
156,Muisne,EC,2019-11-03 22:53:48,0.61,-80.02,80.6,83,75,6.93
157,Ola,RU,2019-11-03 22:53:48,59.58,151.3,34.56,79,24,21.25
158,Clyde River,CA,2019-11-03 22:53:48,70.47,-68.59,21.2,73,75,16.11
159,Lebu,ET,2019-11-03 22:53:48,8.96,38.73,48.67,74,39,3.44
160,Tomatlan,MX,2019-11-03 22:53:49,19.93,-105.25,77.79,85,0,3.11
161,Chingirlau,KZ,2019-11-03 22:53:49,51.09,54.08,24.67,62,0,3.85
162,Bambous Virieux,MU,2019-11-03 22:53:49,-20.34,57.76,73.4,83,40,10.29
163,Beira,ES,2019-11-03 22:53:50,43.2,-8.36,63.0,100,75,11.41
164,Goragorskiy,RU,2019-11-03 22:53:50,43.5,45.08,30.2,100,90,4.47
165,Damaturu,NG,2019-11-03 22:50:55,11.75,11.96,80.13,17,8,4.65
166,Genhe,CN,2019-11-03 22:53:50,50.78,121.52,19.08,59,56,3.65
167,Kudahuvadhoo,MV,2019-11-03 22:53:50,2.67,72.89,81.91,72,3,3.31
168,Half Moon Bay,US,2019-11-03 22:53:51,37.46,-122.43,81.0,51,1,10.29
169,Creston,CA,2019-11-03 22:52:23,49.1,-116.52,46.4,45,1,0.67
170,Fortuna,US,2019-11-03 22:53:52,40.6,-124.16,68.0,67,20,10.29
171,Belmopan,BZ,2019-11-03 22:53:52,17.25,-88.77,89.6,59,20,2.35
172,Tazovskiy,RU,2019-11-03 22:53:53,67.47,78.7,4.82,95,100,9.24
173,Santa Cruz Del Sur,CU,2019-11-03 22:53:53,20.71,-78.0,83.14,68,0,6.2
174,Brae,GB,2019-11-03 22:53:53,60.4,-1.35,48.2,75,0,16.11
175,Saint George,GR,2019-11-03 22:53:53,39.45,22.34,60.8,82,40,4.7
176,Camacha,PT,2019-11-03 22:53:53,33.08,-16.33,68.0,82,40,6.93
177,Hermanus,ZA,2019-11-03 22:53:54,-34.42,19.24,57.0,84,78,1.99
178,Rio Grande,BR,2019-11-03 22:53:54,-32.03,-52.1,66.2,82,100,5.82
179,Tecpan,GT,2019-11-03 22:53:54,14.76,-90.99,69.8,68,75,18.34
180,Mandalgovi,MN,2019-11-03 22:53:54,45.76,106.27,31.15,75,50,21.52
181,Alexandria,RO,2019-11-03 22:53:55,43.97,25.33,51.01,95,99,1.01
182,Tuktoyaktuk,CA,2019-11-03 22:53:55,69.44,-133.03,19.4,85,90,11.41
183,Micheweni,TZ,2019-11-03 22:53:55,-4.97,39.83,80.46,78,26,10.09
184,Portland,US,2019-11-03 22:50:59,43.66,-70.25,48.2,42,20,5.82
185,Itamaraju,BR,2019-11-03 22:53:56,-17.04,-39.53,71.53,94,2,5.61
186,Zajas,MK,2019-11-03 22:53:56,41.61,20.94,60.8,77,40,19.46
187,Saldanha,PT,2019-11-03 22:53:56,41.42,-6.55,55.31,88,89,17.49
188,Buala,SB,2019-11-03 22:53:56,-8.15,159.59,82.42,74,100,1.66
189,Pong,CM,2019-11-03 22:53:57,4.23,10.63,70.88,98,34,1.7
190,Ruwi,OM,2019-11-03 22:53:57,23.6,58.55,80.6,74,30,2.24
191,Vardo,US,2019-11-03 22:53:57,39.62,-77.74,50.0,36,1,3.36
192,Kingaroy,AU,2019-11-03 22:53:57,-26.54,151.84,72.0,77,90,10.29
193,Dunyapur,PK,2019-11-03 22:53:57,29.8,71.74,69.8,83,0,4.88
194,Siocon,PH,2019-11-03 22:53:58,11.03,124.04,83.1,76,0,6.96
195,Midland,US,2019-11-03 22:53:58,32.0,-102.08,77.0,40,1,11.41
196,Sisimiut,GL,2019-11-03 22:53:58,66.94,-53.67,19.47,67,95,9.55
197,Batemans Bay,AU,2019-11-03 22:53:58,-35.71,150.18,64.99,72,12,1.99
198,Kailua,US,2019-11-03 22:52:47,21.39,-157.74,84.2,70,75,5.82
199,Cayenne,GF,2019-11-03 22:53:59,4.94,-52.33,78.8,88,38,2.24
200,Geraldton,CA,2019-11-03 22:49:44,49.72,-86.95,30.2,86,90,6.93
201,Makakilo City,US,2019-11-03 22:53:59,21.35,-158.09,84.2,58,75,9.17
202,Antalaha,MG,2019-11-03 22:53:59,-14.9,50.28,76.68,81,54,11.41
203,Praia,BR,2019-11-03 22:54:00,-20.25,-43.81,80.6,51,40,3.36
204,Kahului,US,2019-11-03 22:54:00,20.89,-156.47,87.8,45,20,12.75
205,Solginskiy,RU,2019-11-03 22:54:00,61.05,41.34,37.9,96,100,8.95
